Entity,Code,Year,Democracy
Angola,AGO,1975,-7
Angola,AGO,1976,-7
Angola,AGO,1977,-7
Angola,AGO,1978,-7
Angola,AGO,1979,-7
Angola,AGO,1980,-7
Angola,AGO,1981,-7
Angola,AGO,1982,-7
Angola,AGO,1983,-7
Angola,AGO,1984,-7
Angola,AGO,1985,-7
Angola,AGO,1986,-7
Angola,AGO,1987,-7
Angola,AGO,1988,-7
Angola,AGO,1989,-7
Angola,AGO,1990,-7
Angola,AGO,1991,-4
Angola,AGO,1992,0
Angola,AGO,1993,-1
Angola,AGO,1994,-2
Angola,AGO,1995,-3
Angola,AGO,1996,-4
Angola,AGO,1997,-6
Angola,AGO,1998,-6
Angola,AGO,1999,-6
Angola,AGO,2000,-6
Angola,AGO,2001,-6
Angola,AGO,2002,-2
Angola,AGO,2003,-2
Angola,AGO,2004,-2
Angola,AGO,2005,-2
Angola,AGO,2006,-2
Angola,AGO,2007,-2
Angola,AGO,2008,-2
Angola,AGO,2009,-2
Angola,AGO,2010,-2
Angola,AGO,2011,-2
Angola,AGO,2012,-2
Angola,AGO,2013,-2
Angola,AGO,2014,-2
Angola,AGO,2015,-2
Angola,AGO,2016,-2
Angola,AGO,2017,-2
Angola,AGO,2018,-2
Cameroon,CMR,1960,4
Cameroon,CMR,1961,4
Cameroon,CMR,1962,4
Cameroon,CMR,1963,4
Cameroon,CMR,1964,4
Cameroon,CMR,1965,4
Cameroon,CMR,1966,-7
Cameroon,CMR,1967,-7
Cameroon,CMR,1968,-7
Cameroon,CMR,1969,-7
Cameroon,CMR,1970,-7
Cameroon,CMR,1971,-7
Cameroon,CMR,1972,-8
Cameroon,CMR,1973,-8
Cameroon,CMR,1974,-8
Cameroon,CMR,1975,-8
Cameroon,CMR,1976,-8
Cameroon,CMR,1977,-8
Cameroon,CMR,1978,-8
Cameroon,CMR,1979,-8
Cameroon,CMR,1980,-8
Cameroon,CMR,1981,-8
Cameroon,CMR,1982,-7
Cameroon,CMR,1983,-7
Cameroon,CMR,1984,-9
Cameroon,CMR,1985,-9
Cameroon,CMR,1986,-9
Cameroon,CMR,1987,-9
Cameroon,CMR,1988,-6
Cameroon,CMR,1989,-6
Cameroon,CMR,1990,-3
Cameroon,CMR,1991,-3
Cameroon,CMR,1992,-5
Cameroon,CMR,1993,-5
Cameroon,CMR,1994,-5
Cameroon,CMR,1995,-5
Cameroon,CMR,1996,-5
Cameroon,CMR,1997,-5
Cameroon,CMR,1998,-5
Cameroon,CMR,1999,-5
Cameroon,CMR,2000,-5
Cameroon,CMR,2001,-5
Cameroon,CMR,2002,-5
Cameroon,CMR,2003,-5
Cameroon,CMR,2004,-5
Cameroon,CMR,2005,-5
Cameroon,CMR,2006,-5
Cameroon,CMR,2007,-5
Cameroon,CMR,2008,-5
Cameroon,CMR,2009,-5
Cameroon,CMR,2010,-5
Cameroon,CMR,2011,-5
Cameroon,CMR,2012,-5
Cameroon,CMR,2013,-5
Cameroon,CMR,2014,-5
Cameroon,CMR,2015,-5
Cameroon,CMR,2016,-5
Cameroon,CMR,2017,-5
Cameroon,CMR,2018,-5
Congo,COG,1960,3
Congo,COG,1961,3
Congo,COG,1962,3
Congo,COG,1963,-7
Congo,COG,1964,-7
Congo,COG,1965,-7
Congo,COG,1966,-7
Congo,COG,1967,-7
Congo,COG,1968,-7
Congo,COG,1969,-7
Congo,COG,1970,-7
Congo,COG,1971,-7
Congo,COG,1972,-7
Congo,COG,1973,-7
Congo,COG,1974,-7
Congo,COG,1975,-7
Congo,COG,1976,-7
Congo,COG,1977,-7
Congo,COG,1978,-7
Congo,COG,1979,-8
Congo,COG,1980,-8
Congo,COG,1981,-8
Congo,COG,1982,-8
Congo,COG,1983,-8
Congo,COG,1984,-8
Congo,COG,1985,-8
Congo,COG,1986,-8
Congo,COG,1987,-8
Congo,COG,1988,-8
Congo,COG,1989,-8
Congo,COG,1990,-8
Congo,COG,1991,-1
Congo,COG,1992,5
Congo,COG,1993,5
Congo,COG,1994,5
Congo,COG,1995,5
Congo,COG,1996,5
Congo,COG,1997,-6
Congo,COG,1998,-6
Congo,COG,1999,-6
Congo,COG,2000,-6
Congo,COG,2001,-5
Congo,COG,2002,-4
Congo,COG,2003,-4
Congo,COG,2004,-4
Congo,COG,2005,-4
Congo,COG,2006,-4
Congo,COG,2007,-4
Congo,COG,2008,-4
Congo,COG,2009,-4
Congo,COG,2010,-4
Congo,COG,2011,-4
Congo,COG,2012,-4
Congo,COG,2013,-4
Congo,COG,2014,-4
Congo,COG,2015,-4
Congo,COG,2016,-4
Congo,COG,2017,-4
Congo,COG,2018,-4
East Timor,TLS,2002,6
East Timor,TLS,2003,6
East Timor,TLS,2004,6
East Timor,TLS,2005,6
East Timor,TLS,2006,7
East Timor,TLS,2007,7
East Timor,TLS,2008,7
East Timor,TLS,2009,7
East Timor,TLS,2010,7
East Timor,TLS,2011,7
East Timor,TLS,2012,8
East Timor,TLS,2013,8
East Timor,TLS,2014,8
East Timor,TLS,2015,8
East Timor,TLS,2016,8
East Timor,TLS,2017,8
East Timor,TLS,2018,8
Equatorial Guinea,GNQ,1968,2
Equatorial Guinea,GNQ,1969,-7
Equatorial Guinea,GNQ,1970,-7
Equatorial Guinea,GNQ,1971,-7
Equatorial Guinea,GNQ,1972,-7
Equatorial Guinea,GNQ,1973,-7
Equatorial Guinea,GNQ,1974,-7
Equatorial Guinea,GNQ,1975,-7
Equatorial Guinea,GNQ,1976,-7
Equatorial Guinea,GNQ,1977,-7
Equatorial Guinea,GNQ,1978,-7
Equatorial Guinea,GNQ,1979,-7
Equatorial Guinea,GNQ,1980,-7
Equatorial Guinea,GNQ,1981,-7
Equatorial Guinea,GNQ,1982,-7
Equatorial Guinea,GNQ,1983,-7
Equatorial Guinea,GNQ,1984,-7
Equatorial Guinea,GNQ,1985,-7
Equatorial Guinea,GNQ,1986,-7
Equatorial Guinea,GNQ,1987,-7
Equatorial Guinea,GNQ,1988,-7
Equatorial Guinea,GNQ,1989,-7
Equatorial Guinea,GNQ,1990,-7
Equatorial Guinea,GNQ,1991,-7
Equatorial Guinea,GNQ,1992,-7
Equatorial Guinea,GNQ,1993,-5
Equatorial Guinea,GNQ,1994,-5
Equatorial Guinea,GNQ,1995,-5
Equatorial Guinea,GNQ,1996,-6
Equatorial Guinea,GNQ,1997,-6
Equatorial Guinea,GNQ,1998,-6
Equatorial Guinea,GNQ,1999,-6
Equatorial Guinea,GNQ,2000,-6
Equatorial Guinea,GNQ,2001,-6
Equatorial Guinea,GNQ,2002,-6
Equatorial Guinea,GNQ,2003,-6
Equatorial Guinea,GNQ,2004,-6
Equatorial Guinea,GNQ,2005,-6
Equatorial Guinea,GNQ,2006,-6
Equatorial Guinea,GNQ,2007,-6
Equatorial Guinea,GNQ,2008,-6
Equatorial Guinea,GNQ,2009,-6
Equatorial Guinea,GNQ,2010,-6
Equatorial Guinea,GNQ,2011,-6
Equatorial Guinea,GNQ,2012,-6
Equatorial Guinea,GNQ,2013,-6
Equatorial Guinea,GNQ,2014,-6
Equatorial Guinea,GNQ,2015,-6
Equatorial Guinea,GNQ,2016,-6
Equatorial Guinea,GNQ,2017,-6
Equatorial Guinea,GNQ,2018,-6
Eswatini,SWZ,1968,-8
Eswatini,SWZ,1969,-8
Eswatini,SWZ,1970,-8
Eswatini,SWZ,1971,-8
Eswatini,SWZ,1972,-8
Eswatini,SWZ,1973,-10
Eswatini,SWZ,1974,-10
Eswatini,SWZ,1975,-10
Eswatini,SWZ,1976,-10
Eswatini,SWZ,1977,-10
Eswatini,SWZ,1978,-10
Eswatini,SWZ,1979,-9
Eswatini,SWZ,1980,-9
Eswatini,SWZ,1981,-9
Eswatini,SWZ,1982,-7
Eswatini,SWZ,1983,-7
Eswatini,SWZ,1984,-7
Eswatini,SWZ,1985,-7
Eswatini,SWZ,1986,-9
Eswatini,SWZ,1987,-9
Eswatini,SWZ,1988,-9
Eswatini,SWZ,1989,-9
Eswatini,SWZ,1990,-9
Eswatini,SWZ,1991,-9
Eswatini,SWZ,1992,-6
Eswatini,SWZ,1993,-7
Eswatini,SWZ,1994,-7
Eswatini,SWZ,1995,-7
Eswatini,SWZ,1996,-7
Eswatini,SWZ,1997,-7
Eswatini,SWZ,1998,-7
Eswatini,SWZ,1999,-7
Eswatini,SWZ,2000,-7
Eswatini,SWZ,2001,-7
Eswatini,SWZ,2002,-7
Eswatini,SWZ,2003,-7
Eswatini,SWZ,2004,-7
Eswatini,SWZ,2005,-7
Eswatini,SWZ,2006,-7
Eswatini,SWZ,2007,-7
Eswatini,SWZ,2008,-7
Eswatini,SWZ,2009,-7
Eswatini,SWZ,2010,-7
Eswatini,SWZ,2011,-7
Eswatini,SWZ,2012,-7
Eswatini,SWZ,2013,-7
Eswatini,SWZ,2014,-7
Eswatini,SWZ,2015,-7
Eswatini,SWZ,2016,-7
Eswatini,SWZ,2017,-7
Eswatini,SWZ,2018,-7
Sudan,SDN,2011,-4
Sudan,SDN,2012,-4
Sudan,SDN,2013,-4
Sudan,SDN,2014,-4
Sudan,SDN,2015,-4
Sudan,SDN,2016,-4
Sudan,SDN,2017,-4
Sudan,SDN,2018,-4