Entity,Code,Year,Average years of schooling
Bangladesh,BGD,1950,0.93
Bangladesh,BGD,1955,0.95
Bangladesh,BGD,1960,1.03
Bangladesh,BGD,1965,1.27
Bangladesh,BGD,1970,1.41
Bangladesh,BGD,1975,1.63
Bangladesh,BGD,1980,2.31
Bangladesh,BGD,1985,2.87
Bangladesh,BGD,1990,3.15
Bangladesh,BGD,1995,3.72
Bangladesh,BGD,2000,4.77
Bangladesh,BGD,2005,5.51
Bangladesh,BGD,2010,6.22
Bangladesh,BGD,2015,6.76
Bangladesh,BGD,2020,7.23
Benin,BEN,1950,0.52
Benin,BEN,1955,0.61
Benin,BEN,1960,0.7
Benin,BEN,1965,0.79
Benin,BEN,1970,0.87
Benin,BEN,1975,0.96
Benin,BEN,1980,1.26
Benin,BEN,1985,1.77
Benin,BEN,1990,2.24
Benin,BEN,1995,2.73
Benin,BEN,2000,3.31
Benin,BEN,2005,3.85
Benin,BEN,2010,4.57
Benin,BEN,2015,5.42
Benin,BEN,2020,6.27
Botswana,BWA,2015,10.27
Botswana,BWA,2020,10.58
Brunei,BRN,2015,9.08
Brunei,BRN,2020,9.28
Burundi,BDI,2015,4.3
Burundi,BDI,2020,5.05
Cambodia,KHM,1950,0.44
Cambodia,KHM,1955,0.67
Cambodia,KHM,1960,1.23
Cambodia,KHM,1965,1.53
Cambodia,KHM,1970,1.91
Cambodia,KHM,1975,2.31
Cambodia,KHM,1980,2.66
Cambodia,KHM,1985,2.89
Cambodia,KHM,1990,3.2
Cambodia,KHM,1995,3.41
Cambodia,KHM,2000,3.64
Cambodia,KHM,2005,4.26
Cambodia,KHM,2010,4.94
Cambodia,KHM,2015,5.32
Cambodia,KHM,2020,5.81
Cameroon,CMR,1950,0.72
Cameroon,CMR,1955,0.92
Cameroon,CMR,1960,1.12
Cameroon,CMR,1965,1.51
Cameroon,CMR,1970,1.92
Cameroon,CMR,1975,2.58
Cameroon,CMR,1980,3.25
Cameroon,CMR,1985,3.94
Cameroon,CMR,1990,4.65
Cameroon,CMR,1995,5.3
Cameroon,CMR,2000,5.76
Cameroon,CMR,2005,6.06
Cameroon,CMR,2010,6.41
Cameroon,CMR,2015,7.05
Cameroon,CMR,2020,7.37
Central African Republic,CAF,2015,4.21
Central African Republic,CAF,2020,4.64
Congo,COG,2015,6.47
Congo,COG,2020,6.74
Cote d'Ivoire,CIV,1950,0.86
Cote d'Ivoire,CIV,1955,0.91
Cote d'Ivoire,CIV,1960,0.99
Cote d'Ivoire,CIV,1965,1.09
Cote d'Ivoire,CIV,1970,1.33
Cote d'Ivoire,CIV,1975,1.76
Cote d'Ivoire,CIV,1980,2.13
Cote d'Ivoire,CIV,1985,2.46
Cote d'Ivoire,CIV,1990,2.79
Cote d'Ivoire,CIV,1995,3.46
Cote d'Ivoire,CIV,2000,4.06
Cote d'Ivoire,CIV,2005,4.52
Cote d'Ivoire,CIV,2010,4.93
Cote d'Ivoire,CIV,2015,5.4
Cote d'Ivoire,CIV,2020,6.05
Democratic Republic of Congo,COD,1950,0.62
Democratic Republic of Congo,COD,1955,0.72
Democratic Republic of Congo,COD,1960,0.88
Democratic Republic of Congo,COD,1965,1.06
Democratic Republic of Congo,COD,1970,1.3
Democratic Republic of Congo,COD,1975,1.63
Democratic Republic of Congo,COD,1980,2.15
Democratic Republic of Congo,COD,1985,2.86
Democratic Republic of Congo,COD,1990,3.31
Democratic Republic of Congo,COD,1995,3.52
Democratic Republic of Congo,COD,2000,3.51
Democratic Republic of Congo,COD,2005,3.63
Democratic Republic of Congo,COD,2010,3.79
Democratic Republic of Congo,COD,2015,4.3
Democratic Republic of Congo,COD,2020,4.85
Eswatini,SWZ,1950,1.27
Eswatini,SWZ,1955,1.55
Eswatini,SWZ,1960,1.81
Eswatini,SWZ,1965,2.16
Eswatini,SWZ,1970,3
Eswatini,SWZ,1975,3.96
Eswatini,SWZ,1980,4.6
Eswatini,SWZ,1985,5.26
Eswatini,SWZ,1990,5.28
Eswatini,SWZ,1995,5.2
Eswatini,SWZ,2000,4.62
Eswatini,SWZ,2005,4.64
Eswatini,SWZ,2010,5.33
Eswatini,SWZ,2015,5.77
Eswatini,SWZ,2020,6.46
Gabon,GAB,2015,9.53
Gabon,GAB,2020,10.18
Gambia,GMB,1950,0.41
Gambia,GMB,1955,0.44
Gambia,GMB,1960,0.48
Gambia,GMB,1965,0.54
Gambia,GMB,1970,0.58
Gambia,GMB,1975,0.75
Gambia,GMB,1980,1
Gambia,GMB,1985,1.32
Gambia,GMB,1990,1.85
Gambia,GMB,1995,2.33
Gambia,GMB,2000,2.77
Gambia,GMB,2005,3.39
Gambia,GMB,2010,3.92
Gambia,GMB,2015,4.42
Gambia,GMB,2020,4.92
Ghana,GHA,1950,0.7
Ghana,GHA,1955,0.83
Ghana,GHA,1960,1.1
Ghana,GHA,1965,2.03
Ghana,GHA,1970,3.35
Ghana,GHA,1975,4.23
Ghana,GHA,1980,4.93
Ghana,GHA,1985,5.63
Ghana,GHA,1990,6.05
Ghana,GHA,1995,6.27
Ghana,GHA,2000,6.67
Ghana,GHA,2005,7.28
Ghana,GHA,2010,7.66
Ghana,GHA,2015,7.72
Ghana,GHA,2020,8.39
India,IND,1950,1.02
India,IND,1955,1.08
India,IND,1960,1.16
India,IND,1965,1.33
India,IND,1970,1.65
India,IND,1975,2.09
India,IND,1980,2.46
India,IND,1985,3.03
India,IND,1990,3.56
India,IND,1995,4.3
India,IND,2000,5.3
India,IND,2005,5.94
India,IND,2010,6.59
India,IND,2015,7.31
India,IND,2020,7.8
Indonesia,IDN,1950,1.14
Indonesia,IDN,1955,1.31
Indonesia,IDN,1960,1.67
Indonesia,IDN,1965,2.28
Indonesia,IDN,1970,2.98
Indonesia,IDN,1975,3.37
Indonesia,IDN,1980,3.85
Indonesia,IDN,1985,4.05
Indonesia,IDN,1990,4.44
Indonesia,IDN,1995,4.89
Indonesia,IDN,2000,5.41
Indonesia,IDN,2005,6.68
Indonesia,IDN,2010,8.02
Indonesia,IDN,2015,8.5
Indonesia,IDN,2020,9.06
Kenya,KEN,1950,1.2
Kenya,KEN,1955,1.35
Kenya,KEN,1960,1.56
Kenya,KEN,1965,1.77
Kenya,KEN,1970,2.28
Kenya,KEN,1975,2.82
Kenya,KEN,1980,3.61
Kenya,KEN,1985,4.33
Kenya,KEN,1990,5.05
Kenya,KEN,1995,5.5
Kenya,KEN,2000,5.91
Kenya,KEN,2005,6.48
Kenya,KEN,2010,6.47
Kenya,KEN,2015,6.28
Kenya,KEN,2020,6.73
Laos,LAO,2015,5.47
Laos,LAO,2020,6.05
Lesotho,LSO,1950,2.6
Lesotho,LSO,1955,2.87
Lesotho,LSO,1960,3.12
Lesotho,LSO,1965,3.44
Lesotho,LSO,1970,3.72
Lesotho,LSO,1975,4.11
Lesotho,LSO,1980,4.49
Lesotho,LSO,1985,4.81
Lesotho,LSO,1990,5.25
Lesotho,LSO,1995,5.8
Lesotho,LSO,2000,6.37
Lesotho,LSO,2005,7.21
Lesotho,LSO,2010,6.08
Lesotho,LSO,2015,6.44
Lesotho,LSO,2020,6.88
Liberia,LBR,1950,0.58
Liberia,LBR,1955,0.62
Liberia,LBR,1960,0.72
Liberia,LBR,1965,0.94
Liberia,LBR,1970,1.16
Liberia,LBR,1975,1.67
Liberia,LBR,1980,2.23
Liberia,LBR,1985,2.73
Liberia,LBR,1990,3.08
Liberia,LBR,1995,3.17
Liberia,LBR,2000,3.6
Liberia,LBR,2005,3.96
Liberia,LBR,2010,4.35
Liberia,LBR,2015,5.06
Liberia,LBR,2020,5.8
Malawi,MWI,1950,0.98
Malawi,MWI,1955,1.06
Malawi,MWI,1960,1.12
Malawi,MWI,1965,1.3
Malawi,MWI,1970,1.63
Malawi,MWI,1975,1.96
Malawi,MWI,1980,2.5
Malawi,MWI,1985,2.96
Malawi,MWI,1990,3.14
Malawi,MWI,1995,3.3
Malawi,MWI,2000,3.73
Malawi,MWI,2005,4.67
Malawi,MWI,2010,5.01
Malawi,MWI,2015,4.86
Malawi,MWI,2020,5.41
Malaysia,MYS,1950,2.21
Malaysia,MYS,1955,2.5
Malaysia,MYS,1960,2.99
Malaysia,MYS,1965,3.54
Malaysia,MYS,1970,4.41
Malaysia,MYS,1975,5.06
Malaysia,MYS,1980,6.06
Malaysia,MYS,1985,7.03
Malaysia,MYS,1990,8.01
Malaysia,MYS,1995,8.66
Malaysia,MYS,2000,9.49
Malaysia,MYS,2005,10.16
Malaysia,MYS,2010,10.89
Malaysia,MYS,2015,11.49
Malaysia,MYS,2020,11.96
Mali,MLI,1950,0.16
Mali,MLI,1955,0.18
Mali,MLI,1960,0.2
Mali,MLI,1965,0.26
Mali,MLI,1970,0.31
Mali,MLI,1975,0.46
Mali,MLI,1980,0.65
Mali,MLI,1985,0.83
Mali,MLI,1990,0.95
Mali,MLI,1995,1.07
Mali,MLI,2000,1.3
Mali,MLI,2005,1.81
Mali,MLI,2010,2.14
Mali,MLI,2015,2.78
Mali,MLI,2020,3.55
Mauritania,MRT,2015,5.1
Mauritania,MRT,2020,5.55
Mauritius,MUS,1950,2.51
Mauritius,MUS,1955,2.93
Mauritius,MUS,1960,3.6
Mauritius,MUS,1965,4.3
Mauritius,MUS,1970,4.98
Mauritius,MUS,1975,5.18
Mauritius,MUS,1980,5.52
Mauritius,MUS,1985,6.09
Mauritius,MUS,1990,6.85
Mauritius,MUS,1995,7.07
Mauritius,MUS,2000,7.07
Mauritius,MUS,2005,8.16
Mauritius,MUS,2010,9.44
Mauritius,MUS,2015,9.9
Mauritius,MUS,2020,10.4
Mozambique,MOZ,1950,0.52
Mozambique,MOZ,1955,0.7
Mozambique,MOZ,1960,0.88
Mozambique,MOZ,1965,1.06
Mozambique,MOZ,1970,1.06
Mozambique,MOZ,1975,1
Mozambique,MOZ,1980,1.19
Mozambique,MOZ,1985,1.25
Mozambique,MOZ,1990,1.06
Mozambique,MOZ,1995,0.98
Mozambique,MOZ,2000,1.13
Mozambique,MOZ,2005,1.34
Mozambique,MOZ,2010,2.03
Mozambique,MOZ,2015,3.31
Mozambique,MOZ,2020,4.22
Myanmar,MMR,1950,1.17
Myanmar,MMR,1955,1.25
Myanmar,MMR,1960,1.27
Myanmar,MMR,1965,1.44
Myanmar,MMR,1970,1.52
Myanmar,MMR,1975,1.69
Myanmar,MMR,1980,2.34
Myanmar,MMR,1985,2.87
Myanmar,MMR,1990,2.99
Myanmar,MMR,1995,3.4
Myanmar,MMR,2000,3.89
Myanmar,MMR,2005,4.45
Myanmar,MMR,2010,5.11
Myanmar,MMR,2015,5.9
Myanmar,MMR,2020,6.48
Namibia,NAM,2015,6.64
Namibia,NAM,2020,6.88
Nepal,NPL,1950,0.11
Nepal,NPL,1955,0.12
Nepal,NPL,1960,0.14
Nepal,NPL,1965,0.28
Nepal,NPL,1970,0.52
Nepal,NPL,1975,0.75
Nepal,NPL,1980,1.04
Nepal,NPL,1985,1.86
Nepal,NPL,1990,2.58
Nepal,NPL,1995,2.76
Nepal,NPL,2000,3.13
Nepal,NPL,2005,3.74
Nepal,NPL,2010,4.44
Nepal,NPL,2015,5.44
Nepal,NPL,2020,6.19
Niger,NER,1950,0.33
Niger,NER,1955,0.35
Niger,NER,1960,0.38
Niger,NER,1965,0.4
Niger,NER,1970,0.45
Niger,NER,1975,0.53
Niger,NER,1980,0.67
Niger,NER,1985,0.85
Niger,NER,1990,1.08
Niger,NER,1995,1.28
Niger,NER,2000,1.43
Niger,NER,2005,1.62
Niger,NER,2010,1.95
Niger,NER,2015,2.44
Niger,NER,2020,3.04
Philippines,PHL,1950,2.35
Philippines,PHL,1955,3.36
Philippines,PHL,1960,3.49
Philippines,PHL,1965,4.01
Philippines,PHL,1970,4.83
Philippines,PHL,1975,5.56
Philippines,PHL,1980,6.26
Philippines,PHL,1985,6.64
Philippines,PHL,1990,7.15
Philippines,PHL,1995,7.59
Philippines,PHL,2000,7.96
Philippines,PHL,2005,8.27
Philippines,PHL,2010,8.65
Philippines,PHL,2015,9.14
Philippines,PHL,2020,9.44
Rwanda,RWA,2015,4.62
Rwanda,RWA,2020,5.24
Senegal,SEN,1950,1.87
Senegal,SEN,1955,1.95
Senegal,SEN,1960,2.07
Senegal,SEN,1965,2.11
Senegal,SEN,1970,2.3
Senegal,SEN,1975,2.49
Senegal,SEN,1980,2.52
Senegal,SEN,1985,2.45
Senegal,SEN,1990,2.37
Senegal,SEN,1995,2.26
Senegal,SEN,2000,1.98
Senegal,SEN,2005,1.67
Senegal,SEN,2010,3.11
Senegal,SEN,2015,3.73
Senegal,SEN,2020,4.4
Sierra Leone,SLE,1950,0.41
Sierra Leone,SLE,1955,0.46
Sierra Leone,SLE,1960,0.51
Sierra Leone,SLE,1965,0.68
Sierra Leone,SLE,1970,0.87
Sierra Leone,SLE,1975,1.14
Sierra Leone,SLE,1980,1.44
Sierra Leone,SLE,1985,1.81
Sierra Leone,SLE,1990,2.17
Sierra Leone,SLE,1995,2.55
Sierra Leone,SLE,2000,2.9
Sierra Leone,SLE,2005,3.36
Sierra Leone,SLE,2010,4.28
Sierra Leone,SLE,2015,4.23
Sierra Leone,SLE,2020,4.99
Singapore,SGP,2015,12.54
Singapore,SGP,2020,13.06
South Africa,ZAF,1950,4.2
South Africa,ZAF,1955,4.4
South Africa,ZAF,1960,4.47
South Africa,ZAF,1965,4.55
South Africa,ZAF,1970,4.7
South Africa,ZAF,1975,4.9
South Africa,ZAF,1980,5.18
South Africa,ZAF,1985,5.21
South Africa,ZAF,1990,6.89
South Africa,ZAF,1995,8.37
South Africa,ZAF,2000,7.92
South Africa,ZAF,2005,8.86
South Africa,ZAF,2010,9.89
South Africa,ZAF,2015,10.15
South Africa,ZAF,2020,10.47
Sri Lanka,LKA,1950,3.55
Sri Lanka,LKA,1955,3.84
Sri Lanka,LKA,1960,4.12
Sri Lanka,LKA,1965,4.49
Sri Lanka,LKA,1970,6.63
Sri Lanka,LKA,1975,6.97
Sri Lanka,LKA,1980,7.22
Sri Lanka,LKA,1985,7.89
Sri Lanka,LKA,1990,8.9
Sri Lanka,LKA,1995,9.83
Sri Lanka,LKA,2000,10.77
Sri Lanka,LKA,2005,10.83
Sri Lanka,LKA,2010,10.67
Sri Lanka,LKA,2015,10.09
Sri Lanka,LKA,2020,10.33
Sudan,SDN,1950,0.35
Sudan,SDN,1955,0.43
Sudan,SDN,1960,0.51
Sudan,SDN,1965,0.63
Sudan,SDN,1970,0.78
Sudan,SDN,1975,1.03
Sudan,SDN,1980,1.42
Sudan,SDN,1985,1.93
Sudan,SDN,1990,2.4
Sudan,SDN,1995,2.78
Sudan,SDN,2000,3.09
Sudan,SDN,2005,3.31
Sudan,SDN,2010,3.49
Sudan,SDN,2015,3.85
Sudan,SDN,2020,4.38
Tanzania,TZA,2015,6.41
Tanzania,TZA,2020,6.87
Thailand,THA,1950,2.16
Thailand,THA,1955,2.44
Thailand,THA,1960,2.68
Thailand,THA,1965,2.39
Thailand,THA,1970,2.74
Thailand,THA,1975,3.24
Thailand,THA,1980,3.9
Thailand,THA,1985,4.45
Thailand,THA,1990,5.21
Thailand,THA,1995,5.79
Thailand,THA,2000,6.09
Thailand,THA,2005,7.46
Thailand,THA,2010,8.47
Thailand,THA,2015,8.71
Thailand,THA,2020,9.32
Togo,TGO,1950,0.36
Togo,TGO,1955,0.43
Togo,TGO,1960,0.53
Togo,TGO,1965,0.65
Togo,TGO,1970,0.92
Togo,TGO,1975,1.93
Togo,TGO,1980,2.95
Togo,TGO,1985,3.65
Togo,TGO,1990,4.3
Togo,TGO,1995,4.62
Togo,TGO,2000,5.05
Togo,TGO,2005,5.44
Togo,TGO,2010,6.09
Togo,TGO,2015,6.85
Togo,TGO,2020,7.68
Uganda,UGA,1950,0.92
Uganda,UGA,1955,1.06
Uganda,UGA,1960,1.18
Uganda,UGA,1965,1.29
Uganda,UGA,1970,1.58
Uganda,UGA,1975,2
Uganda,UGA,1980,2.4
Uganda,UGA,1985,3.02
Uganda,UGA,1990,3.71
Uganda,UGA,1995,4.17
Uganda,UGA,2000,4.56
Uganda,UGA,2005,5.11
Uganda,UGA,2010,5.87
Uganda,UGA,2015,6.27
Uganda,UGA,2020,6.69
Vietnam,VNM,2015,7.99
Vietnam,VNM,2020,8.35
Zambia,ZMB,1950,1.84
Zambia,ZMB,1955,2.03
Zambia,ZMB,1960,2.36
Zambia,ZMB,1965,2.68
Zambia,ZMB,1970,3.12
Zambia,ZMB,1975,3.81
Zambia,ZMB,1980,4.36
Zambia,ZMB,1985,4.77
Zambia,ZMB,1990,5.02
Zambia,ZMB,1995,6.03
Zambia,ZMB,2000,6.35
Zambia,ZMB,2005,6.59
Zambia,ZMB,2010,7.4
Zambia,ZMB,2015,7.9
Zambia,ZMB,2020,8.37
Zimbabwe,ZWE,1950,1.66
Zimbabwe,ZWE,1955,1.99
Zimbabwe,ZWE,1960,2.38
Zimbabwe,ZWE,1965,2.68
Zimbabwe,ZWE,1970,3.22
Zimbabwe,ZWE,1975,3.54
Zimbabwe,ZWE,1980,4.03
Zimbabwe,ZWE,1985,4.84
Zimbabwe,ZWE,1990,5.97
Zimbabwe,ZWE,1995,6.85
Zimbabwe,ZWE,2000,7.26
Zimbabwe,ZWE,2005,7.65
Zimbabwe,ZWE,2010,7.86
Zimbabwe,ZWE,2015,8.03
Zimbabwe,ZWE,2020,8.32